NOMBRES,OCUPACI흁
"
			Kamala Harris		","
				Vicepresidenta			"
"
			Antony Blinken		","
				Secretario de Estado			"
"
			Dra. Janet Yellen		","
				Secretaria del Tesoro			"
"
			General Lloyd Austin		","
				Secretario de Defensa			"
"
			Merrick Garland		","
				Fiscal General			"
"
			Deb Haaland		","
				Secretaria del Interior			"
"
			Tom Vilsack		","
				Secretario de Agricultura			"
"
			Gina Raimondo		","
				Secretaria de Comercio			"
"
			Marty Walsh		","
				Secretario de Trabajo			"
"
			Xavier Becerra		","
				Secretario de Salud y Servicios Humanos			"
"
			Marcia Fudge		","
				Secretaria de Vivienda y Desarrollo Urbano			"
"
			Pete Buttigieg		","
				Secretario de Transporte			"
"
			Jennifer Granholm		","
				Secretaria de Energ칤a			"
"
			Dr. Miguel Cardona		","
				Secretario de Educaci칩n			"
"
			Denis McDonough		","
				Secretario de Asuntos de los Veteranos			"
"
			Alejandro Mayorkas		","
				Secretario de Seguridad Nacional			"
"
			Michael Regan		","
				Administrador de la Agencia de Protecci칩n Ambiental			"
"
			Neera Tanden		","
				Directora de la Oficina de Administraci칩n y Presupuesto			"
"
			Avril Haines		","
				Directora de Inteligencia Nacional			"
"
			Katherine Tai		","
				Representante Comercial de los Estados Unidos			"
"
			Linda Thomas-Greenfield		","
				Embajadora de los Estados Unidos ante las Naciones Unidas			"
"
			Dra. Cecilia Rouse		","
				Jefa del Consejo de Asesores Econ칩micos			"
"
			Isabel Guzman		","
				Administradora de la Agencia Federal de Peque침os Negocios			"
"
			Dr. Eric Lander		","
				Asesor del presidente sobre Asuntos Cient칤ficos y Director de la Oficina de la Casa Blanca para Pol칤ticas de Ciencia y Tecnolog칤a			"
"
			Ron Klain		","
				Jefe de Personal			"
